n_rooms,n_bathrooms,area,zipcode,price
4,4.0,4053,85255,869500
4,3.0,3343,36372,865200
3,4.0,3923,85266,889000
5,5.0,4022,85262,910000
3,4.0,4116,85266,971226
4,5.0,4581,85266,1249000
3,4.0,2544,85262,799000
4,5.0,5524,85266,1698000
3,4.0,4229,85255,1749000
4,5.0,3550,85262,1500000
5,5.0,4829,85266,519200
4,4.0,3428,85255,1039000
5,3.0,5462,85266,799000
4,4.0,4021,85266,889000
5,5.0,4406,85266,700000
4,4.0,3721,85255,500000
5,3.0,3710,85331,740000
3,4.0,2748,85255,725000
5,4.0,4190,85255,1199000
3,3.5,4143,85266,925000
3,3.5,4229,85255,1749000
6,6.5,5963,85262,1595000
3,3.0,2685,85255,799900
5,5.0,5677,85377,1375000
4,4.5,4031,85262,1345000
4,4.0,4954,85262,1290000
4,4.5,3550,85262,962500
5,4.5,4180,85266,875000
4,4.0,4464,85377,1650000
5,4.5,4829,85266,1199000
5,3.0,2520,93446,789000
4,3.5,3428,85255,1039000
3,2.0,1802,93446,365000
3,3.5,2873,85262,1695000
4,4.0,3260,85377,999000
3,4.5,3893,85255,1294000
5,5.5,3932,85262,1089000
3,3.5,2792,85255,799900
3,4.5,4228,85255,1229000
3,3.0,2146,93446,455000
4,1.0,9583,98021,395000
5,2.0,7627,98021,638940
3,2.0,2153,98021,435000
3,2.5,2014,98021,528800
4,2.0,1928,81524,350000
3,3.0,2134,81524,425000
4,3.0,2504,81524,500000
3,3.0,2462,81524,589900
4,3.0,3904,81418,419000
3,2.0,2034,81418,415000
3,2.0,1594,81521,214900
4,2.0,2957,81524,699900
3,3.0,1894,81524,449000
4,2.0,2128,81524,249900
5,3.0,3267,81524,595999
3,3.0,2836,81524,535000
4,3.0,2174,81524,439900
3,2.0,1508,81524,450000
3,2.0,2288,62214,196000
3,2.0,1709,62234,104900
3,2.5,1776,62034,209900
5,3.5,4560,62025,520000
4,3.0,2686,62025,249900
3,2.0,1201,62088,119000
4,2.5,2850,62234,218000
4,3.5,3768,62234,254900
3,2.5,2750,62234,219500
4,3.0,2851,62234,186500
4,1.5,1254,62234,94500
4,4.5,3740,62249,339900
3,2.5,3233,62234,259000
3,2.0,2288,62214,196000
4,3.0,2256,62214,144900
3,2.0,2154,60002,349900
4,3.5,2116,60002,229000
3,2.0,1600,62214,184900
3,2.5,2172,60002,225000
4,2.5,3316,60046,289900
4,2.0,7841,60016,299000
3,2.0,1200,60016,224900
4,2.5,2464,91901,599000
2,2.0,1845,91901,529800
2,1.0,1184,91901,397500
4,2.5,3060,91901,699999
3,2.5,2733,91901,689000
3,2.0,1706,91901,529000
5,4.5,4886,91901,1430000
4,3.5,3029,91901,825000
4,2.5,2620,91901,619000
7,4.0,2929,91901,625000
4,3.5,3328,91901,1095000
3,2.0,2250,91901,625000
3,2.5,2836,91901,979000
2,2.5,1499,91901,539000
3,2.0,960,91901,65000
3,2.0,2671,91901,521500
5,3.0,3747,91901,925000
3,2.5,1675,91901,470000
4,2.5,3115,93446,629000
4,3.5,3426,91901,679000
3,2.0,1288,91901,549000
4,4.0,4042,91901,769000
2,2.0,1005,91901,245900
4,2.5,2726,91901,644900
3,3.0,1937,91901,895000
3,2.5,2445,91901,699000
3,2.0,1826,93446,529000
4,3.5,1084,91901,875000
4,3.0,3706,91901,848000
5,4.5,4874,91901,1499000
4,3.0,3277,91901,669000
3,3.5,4289,91901,1195000
5,3.5,3778,91901,949000
4,3.0,1613,91901,749900
3,2.0,1382,92021,429900
3,2.5,3300,92021,935000
4,2.0,1771,92021,475000
3,2.5,1915,92021,485000
3,2.5,1680,92021,389000
4,2.0,1696,92021,379000
4,2.0,2150,92021,578000
3,2.0,1611,92021,575000
5,3.0,4200,92021,799000
4,2.5,2319,92021,699800
4,4.5,3885,92021,825500
6,6.5,7000,92677,3850000
4,2.5,6000,92677,869000
2,2.5,915,92677,347000
4,3.0,2965,92677,1349000
3,3.0,1825,92677,685000
4,3.5,3100,92677,1499999
3,2.0,1235,92677,469900
3,2.5,2248,92677,1199000
7,7.0,3265,92677,1200000
2,1.0,839,92677,324999
4,3.5,2441,92677,895500
3,3.5,2800,92677,1399999
1,1.0,800,92677,335000
2,2.0,1171,92677,389900
2,2.0,1935,92677,738000
3,2.5,1819,92677,798800
3,2.5,1950,92677,895000
3,2.0,1303,92677,619000
4,3.0,2614,92677,1045000
3,2.5,2141,92677,750000
3,2.5,1655,92677,649900
3,2.5,2225,92677,949000
3,2.5,2125,92677,728000
5,3.5,4245,92677,1895000
4,4.5,4038,92677,1795000
5,4.0,3489,92677,1650000
3,2.5,1808,96019,219800
2,2.0,1056,96019,22000
4,2.0,1881,96019,245000
3,1.0,1132,96019,170000
3,2.0,1372,96019,178000
3,2.0,1560,96019,1795000
3,2.0,1306,96019,239900
3,2.0,1736,96019,239900
4,3.5,2900,96019,449900
4,2.0,1768,96019,279900
3,2.0,1008,96019,164000
3,2.0,1696,96019,319500
4,2.5,1580,95220,475000
4,3.0,2462,95220,915000
4,3.0,3548,95220,824999
4,2.5,2508,95220,699700
4,3.0,1909,95220,649000
3,2.5,3467,95220,1449000
3,3.5,3172,95220,899900
4,3.5,4838,95220,1999999
4,3.0,2840,95220,799900
4,3.5,5050,95220,1600000
3,2.0,1299,94501,739000
2,1.0,1065,94501,629000
1,1.0,701,94501,339000
2,2.0,1313,94501,750000
3,2.0,2078,94501,888000
3,1.5,1524,94501,749000
3,2.0,1789,94501,895000
2,1.5,1120,94501,435000
3,2.5,2185,94501,490000
3,1.5,1253,94501,599000
2,1.0,766,94501,598000
5,3.5,2879,94501,1327685
6,4.0,3492,94501,1495000
4,3.5,3485,94501,1895000
4,2.0,1634,94501,899000
4,2.5,2020,94501,825000
3,1.5,1364,94501,729000
4,2.5,2300,94501,1188000
2,2.0,951,94501,538800
3,2.0,1490,94501,949000
2,1.0,834,94501,549000
2,1.0,805,94501,625000
1,1.0,766,94501,349000
2,2.0,994,94501,479000
3,2.5,1665,94501,875000
3,1.5,1581,94501,895000
3,2.5,1652,94501,649000
2,1.5,1056,94501,739000
2,2.5,1772,93446,499000
3,3.0,2361,94501,988000
3,3.5,2724,94501,1150000
2,1.0,1110,94501,649000
2,1.0,1016,94501,679000
3,2.0,1413,94501,619000
5,4.0,3743,94501,1295000
3,2.0,2504,94501,895000
3,3.0,1864,94501,995888
5,3.0,3122,94501,899000
3,2.5,1678,94501,668000
2,1.0,1134,94501,599000
3,1.5,1581,94501,895000
4,2.5,1602,94501,949000
4,3.5,3651,93111,1749000
5,4.5,5000,93111,4000000
3,2.0,1368,93111,599999
4,2.0,1426,93111,949000
3,2.0,1447,93111,1080000
4,2.0,2304,93111,1495000
2,2.0,1716,93105,895000
3,2.0,1796,93111,897000
4,4.5,2844,93111,1595000
3,3.5,1876,93111,1149000
3,2.0,1475,93111,769000
3,3.5,3136,93111,2150000
5,3.0,3188,92880,567500
5,5.0,3701,92880,579000
5,5.0,4749,92880,749000
5,4.0,4014,92880,699000
6,4.0,4311,92880,695000
5,4.0,2809,92880,635900
6,4.0,3635,92880,585000
8,6.0,3849,92880,580000
4,4.0,3773,91752,579000
4,3.0,3214,92880,547900
5,3.0,3677,92880,570000
5,3.0,3200,92880,568000
5,4.0,3270,92880,560000
5,5.0,4074,92880,550000
4,3.0,2951,92880,549999
5,4.0,3500,92880,545000
5,3.0,2622,92880,539900
5,3.0,3034,92880,539800
6,4.0,3375,92880,538000
5,3.0,3340,92880,534977
5,3.0,3075,92880,534888
5,3.0,3013,92880,530000
4,3.0,3000,92880,529900
4,3.0,3141,92880,529999
4,3.0,2650,92880,529900
5,3.0,3054,92543,284900
2,3.0,1627,92253,550000
1,1.0,840,94568,303590
3,2.5,2295,90211,1500000
8,6.0,5900,92040,1350000
4,2.0,1512,93720,89900
5,3.5,3149,92880,515000
3,3.0,2100,92692,700200
4,3.0,2530,93924,1150000
4,3.0,2287,90265,1695000
2,2.0,1503,92692,664900
3,2.0,1209,92253,250000
4,2.0,2250,93314,310000
6,4.0,4311,92880,695000
4,4.0,2460,90038,1550000
5,3.0,3514,92880,649990
4,3.0,2257,90803,1299000
4,3.0,2870,92880,489000
3,1.5,1400,95008,999000
5,3.0,2533,94565,540000
4,3.0,3010,92880,490000
3,2.5,1321,91915,360000
3,3.0,1905,92880,448000
6,4.0,4311,92880,669472
4,3.0,2825,91752,549900
4,3.0,2579,92880,520000
4,4.0,2893,92880,520000
4,3.0,3099,92880,519900
4,5.0,3307,92880,519900
3,3.0,2367,92880,529000
5,4.0,3972,91752,525000
4,3.0,3010,92880,525000
5,5.0,3816,92880,589900
2,2.0,1152,92276,96900
2,1.5,1800,92276,163000
2,2.0,2036,92276,175000
2,2.0,1344,92276,98000
2,1.0,1100,92276,36000
2,2.0,1248,92276,115000
2,2.0,1380,92276,125000
2,2.0,960,92276,100000
3,2.0,1368,92276,193000
3,2.0,2788,92276,385000
5,3.25,3149,92880,515000
4,5.0,3834,92880,530000
5,3.0,3767,92880,567000
5,3.5,3149,92880,500000
5,4.0,3565,92880,537000
6,3.5,3615,92880,647000
5,5.0,4014,92880,542000
5,5.0,3834,92880,565000
4,3.0,3572,92880,535000
4,3.0,2870,92880,489000
4,3.0,2570,92880,510000
4,2.5,2285,93510,560000
3,2.0,2691,93510,675000
3,2.5,2490,93510,450000
3,2.0,2160,93510,409900
3,2.5,2326,93510,553000
3,2.5,2260,93510,470000
3,1.0,1337,93510,335000
2,1.0,884,93510,400000
4,3.0,2987,93510,615000
3,2.0,1476,93510,485000
5,3.0,2983,93510,479000
5,4.0,3198,93510,695000
3,2.0,1236,93510,221000
4,2.0,1797,93510,450000
3,2.0,1404,93510,195000
3,2.0,1248,93510,240000
5,3.0,3167,93510,599900
6,4.0,3705,93510,765000
4,2.5,2362,93510,539900
4,2.0,2252,93510,585000
3,2.0,2752,93510,570000
4,2.0,2160,93510,384000
3,4.0,3312,93510,759000
3,2.0,2315,93510,499000
2,2.0,1344,92276,154900
2,2.0,1820,92276,225000
2,2.0,1152,92276,138500
2,2.0,1440,92276,97500
2,2.0,2015,92276,219000
2,2.0,1248,92276,103500
2,2.0,1598,92276,136900
2,2.0,1176,92276,135000
2,2.5,960,92276,135000
3,2.0,1482,92276,158888
2,2.0,1152,92276,74900
2,2.0,1344,92276,69900
3,2.0,1248,92276,139500
3,2.0,1478,92276,219900
2,2.0,1152,92276,99900
2,2.0,1040,92276,59900
2,2.0,1000,92276,118900
2,2.0,1440,92276,106000
2,2.0,1344,92276,67500
2,2.0,1640,92276,104950
